Base_Height,H_Feb04,H_Feb14,H_Feb21,H_Feb28,Growth_Feb04,Growth_Feb14,Growth_Feb21,Growth_Feb28,Rate_Feb04_Feb14,Rate_Feb14_Feb21,Rate_Feb21_Feb28,Total_Growth,Growth_Acceleration,Survival_Score,Treatment_Encoded,Alive_Feb14,Alive_Feb21,Alive_Feb28,Target_Accession
19.5,24.5,38,42,42.5,5,18.5,22.5,23,1.35,0.571428571,0.071428571,23,-1.278571429,1,0,1,1,1,9
18.5,25,38,43.5,45.6,6.5,19.5,25,27.1,1.3,0.785714286,0.3,27.1,-1,1,0,1,1,1,9
16.3,24,39,46.2,49.5,7.7,22.7,29.9,33.2,1.5,1.028571429,0.471428571,33.2,-1.028571429,1,0,1,1,1,9
16,25.5,29.8,36.5,39.7,9.5,13.8,20.5,23.7,0.43,0.957142857,0.457142857,23.7,0.027142857,1,0,1,1,1,7
17,24,34.5,35,37.5,7,17.5,18,20.5,1.05,0.071428571,0.357142857,20.5,-0.692857143,1,0,1,1,1,7
18,23.8,34.5,42,42.5,5.8,16.5,24,24.5,1.07,1.071428571,0.071428571,24.5,-0.998571429,1,0,1,1,1,7
17.2,23.5,32.6,37,37.7,6.3,15.4,19.8,20.5,0.91,0.628571429,0.1,20.5,-0.81,1,0,1,1,1,7
17.5,22.5,33,40,41.5,5,15.5,22.5,24,1.05,1,0.214285714,24,-0.835714286,1,0,1,1,1,7
17.6,20,30,36,40,2.4,12.4,18.4,22.4,1,0.857142857,0.571428571,22.4,-0.428571429,1,0,1,1,1,7
16,21,34,36,38.7,5,18,20,22.7,1.3,0.285714286,0.385714286,22.7,-0.914285714,1,0,1,1,1,7
17.7,23.5,36.2,38,39,5.8,18.5,20.3,21.3,1.27,0.257142857,0.142857143,21.3,-1.127142857,1,0,1,1,1,7
18,25.5,36.3,42,42.7,7.5,18.3,24,24.7,1.08,0.814285714,0.1,24.7,-0.98,1,0,1,1,1,7
15.5,24.5,36,43,43.5,9,20.5,27.5,28,1.15,1,0.071428571,28,-1.078571429,1,0,1,1,1,7
16.5,24.5,31.9,37,39.5,8,15.4,20.5,23,0.74,0.728571429,0.357142857,23,-0.382857143,1,0,1,1,1,7
14.5,23,36.2,42.5,47,8.5,21.7,28,32.5,1.32,0.9,0.642857143,32.5,-0.677142857,1,0,1,1,1,7
19.2,27.5,42,47,56,8.3,22.8,27.8,36.8,1.45,0.714285714,1.285714286,36.8,-0.164285714,1,0,1,1,1,1
19.7,27.5,40.5,45,49,7.8,20.8,25.3,29.3,1.3,0.642857143,0.571428571,29.3,-0.728571429,1,0,1,1,1,1
21,29,38,46.2,46.3,8,17,25.2,25.3,0.9,1.171428571,0.014285714,25.3,-0.885714286,1,0,1,1,1,1
12.2,27,29,31,47.6,14.8,16.8,18.8,35.4,0.2,0.285714286,2.371428571,35.4,2.171428571,1,0,1,1,1,1
21.5,28.5,39,43.4,47.7,7,17.5,21.9,26.2,1.05,0.628571429,0.614285714,26.2,-0.435714286,1,0,1,1,1,1
21,27.5,40.9,44,45,6.5,19.9,23,24,1.34,0.442857143,0.142857143,24,-1.197142857,1,0,1,1,1,1
17.5,27,34,45,51.2,9.5,16.5,27.5,33.7,0.7,1.571428571,0.885714286,33.7,0.185714286,1,0,1,1,1,1
19,27,39,44,47,8,20,25,28,1.2,0.714285714,0.428571429,28,-0.771428571,1,0,1,1,1,1
13,22,41.5,47,52,9,28.5,34,39,1.95,0.785714286,0.714285714,39,-1.235714286,1,0,1,1,1,1
18,22.5,29,44,51.5,4.5,11,26,33.5,0.65,2.142857143,1.071428571,33.5,0.421428571,1,0,1,1,1,1
16.5,25.5,39.9,48.5,53.2,9,23.4,32,36.7,1.44,1.228571429,0.671428571,36.7,-0.768571429,1,0,1,1,1,1
21.5,28,41.5,48,57.3,6.5,20,26.5,35.8,1.35,0.928571429,1.328571429,35.8,-0.021428571,1,0,1,1,1,1
15,23,38.5,47,47.4,8,23.5,32,32.4,1.55,1.214285714,0.057142857,32.4,-1.492857143,1,0,1,1,1,6
17,25,34.3,38,39.2,8,17.3,21,22.2,0.93,0.528571429,0.171428571,22.2,-0.758571429,1,0,1,1,1,6
17,19.7,36.5,41.5,42.5,2.7,19.5,24.5,25.5,1.68,0.714285714,0.142857143,25.5,-1.537142857,1,0,1,1,1,6
14,24,30.7,34.6,36.3,10,16.7,20.6,22.3,0.67,0.557142857,0.242857143,22.3,-0.427142857,1,0,1,1,1,6
17.5,24.5,37,40,44,7,19.5,22.5,26.5,1.25,0.428571429,0.571428571,26.5,-0.678571429,1,0,1,1,1,6
18,28.5,49,58,64,10.5,31,40,46,2.05,1.285714286,0.857142857,46,-1.192857143,1,0,1,1,1,6
17,25,33.4,44,47.3,8,16.4,27,30.3,0.84,1.514285714,0.471428571,30.3,-0.368571429,1,0,1,1,1,6
17,22.5,37,40.5,42.3,5.5,20,23.5,25.3,1.45,0.5,0.257142857,25.3,-1.192857143,1,0,1,1,1,6
16,24,35,38,38.5,8,19,22,22.5,1.1,0.428571429,0.071428571,22.5,-1.028571429,1,0,1,1,1,6
17,20.8,38,44,48.5,3.8,21,27,31.5,1.72,0.857142857,0.642857143,31.5,-1.077142857,1,0,1,1,1,6
16,24,38.5,41,47.5,8,22.5,25,31.5,1.45,0.357142857,0.928571429,31.5,-0.521428571,1,0,1,1,1,6
16.3,21.6,38.7,47,50.7,5.3,22.4,30.7,34.4,1.71,1.185714286,0.528571429,34.4,-1.181428571,1,0,1,1,1,6
14,20.9,37.6,41.5,43.5,6.9,23.6,27.5,29.5,1.67,0.557142857,0.285714286,29.5,-1.384285714,1,0,1,1,1,4
15.5,25,34,39,43.2,9.5,18.5,23.5,27.7,0.9,0.714285714,0.6,27.7,-0.3,1,0,1,1,1,4
13.5,23.7,37,39,41,10.2,23.5,25.5,27.5,1.33,0.285714286,0.285714286,27.5,-1.044285714,1,0,1,1,1,4
14.5,26,33,37,41.2,11.5,18.5,22.5,26.7,0.7,0.571428571,0.6,26.7,-0.1,1,0,1,1,1,4
10,16,26,29,31,6,16,19,21,1,0.428571429,0.285714286,21,-0.714285714,1,0,1,1,1,4
11.5,20.3,34,41,47,8.8,22.5,29.5,35.5,1.37,1,0.857142857,35.5,-0.512857143,1,0,1,1,1,4
14,21,35,39,39.5,7,21,25,25.5,1.4,0.571428571,0.071428571,25.5,-1.328571429,1,0,1,1,1,4
16,23,30,33.5,37.5,7,14,17.5,21.5,0.7,0.5,0.571428571,21.5,-0.128571429,1,0,1,1,1,4
15,24,31,34,35.5,9,16,19,20.5,0.7,0.428571429,0.214285714,20.5,-0.485714286,1,0,1,1,1,4
14.5,20,38,39.5,40.5,5.5,23.5,25,26,1.8,0.214285714,0.142857143,26,-1.657142857,1,0,1,1,1,4
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,4
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,4
17.5,27,37,41.5,46.5,9.5,19.5,24,29,1,0.642857143,0.714285714,29,-0.285714286,1,0,1,1,1,8
11,19,33,36,38,8,22,25,27,1.4,0.428571429,0.285714286,27,-1.114285714,1,0,1,1,1,8
25,38,33.3,37,38.2,13,8.3,12,13.2,-0.47,0.528571429,0.171428571,13.2,0.641428571,1,0,1,1,1,8
19.5,25.5,39,42,47,6,19.5,22.5,27.5,1.35,0.428571429,0.714285714,27.5,-0.635714286,1,0,1,1,1,8
15.5,25,41,45,48,9.5,25.5,29.5,32.5,1.6,0.571428571,0.428571429,32.5,-1.171428571,1,0,1,1,1,8
15.3,26.5,45,47,47.4,11.2,29.7,31.7,32.1,1.85,0.285714286,0.057142857,32.1,-1.792857143,1,0,1,1,1,8
20,24.5,38,43.6,48.5,4.5,18,23.6,28.5,1.35,0.8,0.7,28.5,-0.65,1,0,1,1,1,8
15,19,22.6,0,0,4,7.6,-15,-15,0.36,-3.228571429,0,-15,-0.36,1,0,1,1,1,8
15.5,22.5,36,58,67,7,20.5,42.5,51.5,1.35,3.142857143,1.285714286,51.5,-0.064285714,1,0,1,1,1,8
21,26.5,40,47,50,5.5,19,26,29,1.35,1,0.428571429,29,-0.921428571,1,0,1,1,1,8
13.5,22.5,37,39,55.5,9,23.5,25.5,42,1.45,0.285714286,2.357142857,42,0.907142857,1,0,1,1,1,8
13.5,23.1,38,44.1,46.2,9.6,24.5,30.6,32.7,1.49,0.871428571,0.3,32.7,-1.19,1,0,1,1,1,8
24,32,49.9375,51,55,8,26.5,27,31,1.79375,0.151785714,0.571428571,31,-1.222321429,1,0,1,1,1,13
12.5,25.5,49.9375,63,66,13,34.4,50.5,53.5,2.44375,1.866071429,0.428571429,53.5,-2.015178571,1,0,1,1,1,13
15,28,47,51.5,54,13,32,36.5,39,1.9,0.642857143,0.357142857,39,-1.542857143,1,0,1,1,1,13
19,33,49.9375,65,68.5,14,32.6,46,49.5,1.69375,2.151785714,0.5,49.5,-1.19375,1,0,1,1,1,13
17.5,29,49.9375,64,65.7,11.5,34.4,46.5,48.2,2.09375,2.008928571,0.242857143,48.2,-1.850892857,1,0,1,1,1,13
19.5,27.5,47,49,51.2,8,27.5,29.5,31.7,1.95,0.285714286,0.314285714,31.7,-1.635714286,1,0,1,1,1,13
17,27,34,38,47,10,17,21,30,0.7,0.571428571,1.285714286,30,0.585714286,1,0,1,1,1,13
19,33,49.9375,54,54.5,14,33,35,35.5,1.69375,0.580357143,0.071428571,35.5,-1.622321429,1,0,1,1,1,13
14,27.5,49.9375,58,60,13.5,34.4,44,46,2.24375,1.151785714,0.285714286,46,-1.958035714,1,0,1,1,1,13
19.5,30,49.9375,68,68.5,10.5,34.4,48.5,49,1.99375,2.580357143,0.071428571,49,-1.922321429,1,0,1,1,1,13
20,34,15.4375,0,0,14,-4.8,-20,-20,-1.85625,-2.205357143,0,-20,1.85625,1,0,1,1,1,13
18,10.775,15.4375,0,0,-3.6125,-4.8,-18,-18,0.46625,-2.205357143,0,-18,-0.46625,1,0,1,1,1,13
17.5,27.5,48.5,55.5,57,10,31,38,39.5,2.1,1,0.214285714,39.5,-1.885714286,1,0,1,1,1,16
21.5,27.5,47,49,62,6,25.5,27.5,40.5,1.95,0.285714286,1.857142857,40.5,-0.092857143,1,0,1,1,1,16
17.5,31.8,48.5,58,60,14.3,31,40.5,42.5,1.67,1.357142857,0.285714286,42.5,-1.384285714,1,0,1,1,1,16
17.7,29.5,49.5,58,62.2,11.8,31.8,40.3,44.5,2,1.214285714,0.6,44.5,-1.4,1,0,1,1,1,16
13,19.5,40,52.2,55,6.5,27,39.2,42,2.05,1.742857143,0.4,42,-1.65,1,0,1,1,1,16
15.5,16.5,48,55,56.2,1,32.5,39.5,40.7,3.15,1,0.171428571,40.7,-2.978571429,1,0,1,1,1,16
20,25.5,44,55,58,5.5,24,35,38,1.85,1.571428571,0.428571429,38,-1.421428571,1,0,1,1,1,16
5.75,10.775,15.4375,0,0,-3.5,-3.5,-3.5,-3.5,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,16
19,30.5,46,47,50.3,11.5,27,28,31.3,1.55,0.142857143,0.471428571,31.3,-1.078571429,1,0,1,1,1,16
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,16
14,21.5,42.5,55,60.5,7.5,28.5,41,46.5,2.1,1.785714286,0.785714286,46.5,-1.314285714,1,0,1,1,1,16
18,31,37.3,43,52.6,13,19.3,25,34.6,0.63,0.814285714,1.371428571,34.6,0.741428571,1,0,1,1,1,16
17,22,28,36,42.2,5,11,19,25.2,0.6,1.142857143,0.885714286,25.2,0.285714286,1,0,1,1,1,12
16.3,21.2,25,32,34,4.9,8.7,15.7,17.7,0.38,1,0.285714286,17.7,-0.094285714,1,0,1,1,1,12
13.5,19.5,23.5,24.6,38.6,6,10,11.1,25.1,0.4,0.157142857,2,25.1,1.6,1,0,1,1,1,12
21,27,40.5,45,48,6,19.5,24,27,1.35,0.642857143,0.428571429,27,-0.921428571,1,0,1,1,1,12
10.5,14,31.2,36.3,38.6,3.5,20.7,25.8,28.1,1.72,0.728571429,0.328571429,28.1,-1.391428571,1,0,1,1,1,12
16.5,22.6,29.5,35.5,40,6.1,13,19,23.5,0.69,0.857142857,0.642857143,23.5,-0.047142857,1,0,1,1,1,12
