Base_Height,H_Feb04,H_Feb14,H_Feb21,H_Feb28,Growth_Feb04,Growth_Feb14,Growth_Feb21,Growth_Feb28,Rate_Feb04_Feb14,Rate_Feb14_Feb21,Rate_Feb21_Feb28,Total_Growth,Growth_Acceleration,Survival_Score,Treatment_Encoded,Alive_Feb14,Alive_Feb21,Alive_Feb28,Target_Accession
15,19,36.2,38.3,47.4,4,21.2,23.3,32.4,1.72,0.3,1.3,32.4,-0.42,1,0,1,1,1,5
21.5,26,33,41,46.5,4.5,11.5,19.5,25,0.7,1.142857143,0.785714286,25,0.085714286,1,0,1,1,1,5
19,29,45.2,51,55,10,26.2,32,36,1.62,0.828571429,0.571428571,36,-1.048571429,1,0,1,1,1,5
15,28,43.5,52,56.4,13,28.5,37,41.4,1.55,1.214285714,0.628571429,41.4,-0.921428571,1,0,1,1,1,5
15,22.6,30.6,35,40.2,7.6,15.6,20,25.2,0.8,0.628571429,0.742857143,25.2,-0.057142857,1,0,1,1,1,2
15,22,26,36.5,44,7,11,21.5,29,0.4,1.5,1.071428571,29,0.671428571,1,0,1,1,1,2
12,19,27,29,36,7,15,17,24,0.8,0.285714286,1,24,0.2,1,0,1,1,1,2
20,28,41,46,54.2,8,21,26,34.2,1.3,0.714285714,1.171428571,34.2,-0.128571429,1,0,1,1,1,2
19.2,31.5,38.6,40.3,55,12.3,19.4,21.1,35.8,0.71,0.242857143,2.1,35.8,1.39,1,0,1,1,1,2
20,25,32.8,38,50.8,5,12.8,18,30.8,0.78,0.742857143,1.828571429,30.8,1.048571429,1,0,1,1,1,2
14,20.8,34,39,47.4,6.8,20,25,33.4,1.32,0.714285714,1.2,33.4,-0.12,1,0,1,1,1,2
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,2
18.5,27.5,34,47.5,56.3,9,15.5,29,37.8,0.65,1.928571429,1.257142857,37.8,0.607142857,1,0,1,1,1,2
17,28.5,39,46,55.2,11.5,22,29,38.2,1.05,1,1.314285714,38.2,0.264285714,1,0,1,1,1,2
18.6,27,49.9375,55,70.6,8.4,32.9,36.4,52,2.29375,0.723214286,2.228571429,52,-0.065178571,1,0,1,1,1,2
14.9,26.8,40.5,42.7,60.2,11.9,25.6,27.8,45.3,1.37,0.314285714,2.5,45.3,1.13,1,0,1,1,1,2
16,19.5,32.5,38,43.3,3.5,16.5,22,27.3,1.3,0.785714286,0.757142857,27.3,-0.542857143,1,0,1,1,1,15
17.5,25,31.6,36,37,7.5,14.1,18.5,19.5,0.66,0.628571429,0.142857143,19.5,-0.517142857,1,0,1,1,1,15
16.3,32,33.2,43,44.2,15.7,16.9,26.7,27.9,0.12,1.4,0.171428571,27.9,0.051428571,1,0,1,1,1,15
15,18.5,29.5,35,38,3.5,14.5,20,23,1.1,0.785714286,0.428571429,23,-0.671428571,1,0,1,1,1,15
13,24,35.4,36,36.8,11,22.4,23,23.8,1.14,0.085714286,0.114285714,23.8,-1.025714286,1,0,1,1,1,15
19.6,23,36.4,38.5,44.1,3.4,16.8,18.9,24.5,1.34,0.3,0.8,24.5,-0.54,1,0,1,1,1,15
20.5,32.8,33,0,0,12.3,12.5,-20.5,-20.5,0.02,-4.714285714,0,-20.5,-0.02,1,0,1,1,1,15
16.5,28,38,40.5,44.7,11.5,21.5,24,28.2,1,0.357142857,0.6,28.2,-0.4,1,0,1,1,1,15
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,15
10.5,20,29,0,0,9.5,18.5,-10.5,-10.5,0.9,-4.142857143,0,-10.5,-0.9,1,0,1,1,1,15
17.8,30.5,37.5,39,39.5,12.7,19.7,21.2,21.7,0.7,0.214285714,0.071428571,21.7,-0.628571429,1,0,1,1,1,15
14,26.5,35.6,36.8,43.2,12.5,21.6,22.8,29.2,0.91,0.171428571,0.914285714,29.2,0.004285714,1,0,1,1,1,15
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,14
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,14
13.3,28.5,34,36,36.5,15.2,20.7,22.7,23.2,0.55,0.285714286,0.071428571,23.2,-0.478571429,1,0,1,1,1,14
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,14
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,14
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,14
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,14
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,14
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,14
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,14
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,14
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,14
21.5,27,39,41,44.2,5.5,17.5,19.5,22.7,1.2,0.285714286,0.457142857,22.7,-0.742857143,1,0,1,1,1,11
16.4,24.5,35,38,38.3,8.1,18.6,21.6,21.9,1.05,0.428571429,0.042857143,21.9,-1.007142857,1,0,1,1,1,11
20,29,41.9,44,52.5,9,21.9,24,32.5,1.29,0.3,1.214285714,32.5,-0.075714286,1,0,1,1,1,11
18,27,34,0,0,9,16,-18,-18,0.7,-4.857142857,0,-18,-0.7,1,0,1,1,1,11
23,28.5,38.8,40,55.2,5.5,15.8,17,32.2,1.03,0.171428571,2.171428571,32.2,1.141428571,1,0,1,1,1,11
16,26.5,27,36,42.3,10.5,11,20,26.3,0.05,1.285714286,0.9,26.3,0.85,1,0,1,1,1,11
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,11
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,11
6.3,11,16.1,20,28,4.7,9.8,13.7,21.7,0.51,0.557142857,1.142857143,21.7,0.632857143,1,0,1,1,1,11
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,11
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,11
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,11
19.5,24.5,34.6,39,52.2,5,15.1,19.5,32.7,1.01,0.628571429,1.885714286,32.7,0.875714286,1,0,1,1,1,10
18.7,26,35.7,39.9,53.5,7.3,17,21.2,34.8,0.97,0.6,1.942857143,34.8,0.972857143,1,0,1,1,1,10
15.8,23.5,35.5,37.6,47.5,7.7,19.7,21.8,31.7,1.2,0.3,1.414285714,31.7,0.214285714,1,0,1,1,1,10
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,10
12.8,22.5,29,33,53.1,9.7,16.2,20.2,40.3,0.65,0.571428571,2.871428571,40.3,2.221428571,1,0,1,1,1,10
15,19.5,27.1,30,39.6,4.5,12.1,15,24.6,0.76,0.414285714,1.371428571,24.6,0.611428571,1,0,1,1,1,10
15,25,27.2,31.2,41.5,10,12.2,16.2,26.5,0.22,0.571428571,1.471428571,26.5,1.251428571,1,0,1,1,1,10
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,10
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,10
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,10
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,10
5.75,10.775,15.4375,0,0,-3,-3,-3,-3,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,10
18.5,29,35,40,53.1,10.5,16.5,21.5,34.6,0.6,0.714285714,1.871428571,34.6,1.271428571,1,0,1,1,1,3
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,3
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,3
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,3
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,3
21,25.5,30.5,32,42.5,4.5,9.5,11,21.5,0.5,0.214285714,1.5,21.5,1,1,0,1,1,1,3
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,3
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,3
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,3
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,3
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,3
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,3
23.4,28,36,37.2,57.7,4.6,12.6,13.8,34.3,0.8,0.171428571,2.928571429,34.3,2.128571429,1,0,1,1,1,17
24.6,33,40,41.5,41.7,8.4,15.4,16.9,17.1,0.7,0.214285714,0.028571429,17.1,-0.671428571,1,0,1,1,1,17
12.2,19,29.3,33,38,6.8,17.1,20.8,25.8,1.03,0.528571429,0.714285714,25.8,-0.315714286,1,0,1,1,1,17
24.8,34,38,40,40.5,9.2,13.2,15.2,15.7,0.4,0.285714286,0.071428571,15.7,-0.328571429,1,0,1,1,1,17
19,30.5,39.7,40.5,40.7,11.5,20.7,21.5,21.7,0.92,0.114285714,0.028571429,21.7,-0.891428571,1,0,1,1,1,17
8,15,21.7,31,33,7,13.7,23,25,0.67,1.328571429,0.285714286,25,-0.384285714,1,0,1,1,1,17
5.75,10.775,15.4375,0,0,-3.6125,-4.5,-4.5,-4.5,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,17
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,17
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,17
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,17
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,17
11,24,29.7,31,39.2,13,18.7,20,28.2,0.57,0.185714286,1.171428571,28.2,0.601428571,1,0,1,1,1,17
17.5,29,45,54,56,11.5,27.5,36.5,38.5,1.6,1.285714286,0.285714286,38.5,-1.314285714,1,0,1,1,1,9
16.5,30.5,49.5,58.5,59,14,33,42,42.5,1.9,1.285714286,0.071428571,42.5,-1.828571429,1,0,1,1,1,9
17,26.5,48,52.5,56.5,9.5,31,35.5,39.5,2.15,0.642857143,0.571428571,39.5,-1.578571429,1,0,1,1,1,9
19,32,49.9375,56,62.3,13,31,37,43.3,1.79375,0.866071429,0.9,43.3,-0.89375,1,0,1,1,1,9
17,20.5,41.5,56,61.4,3.5,24.5,39,44.4,2.1,2.071428571,0.771428571,44.4,-1.328571429,1,0,1,1,1,9
15.5,30,49.9375,56.3,60.1,14.5,34.4,40.8,44.6,1.99375,0.908928571,0.542857143,44.6,-1.450892857,1,0,1,1,1,9
16,29,46,53,56.5,13,30,37,40.5,1.7,1,0.5,40.5,-1.2,1,0,1,1,1,9
15.5,28,48.5,58,58.3,12.5,33,42.5,42.8,2.05,1.357142857,0.042857143,42.8,-2.007142857,1,0,1,1,1,9
15.3,29,44,45,49.7,13.7,28.7,29.7,34.4,1.5,0.142857143,0.671428571,34.4,-0.828571429,1,0,1,1,1,9
15,30.5,49.5,57,58.5,15.5,34.4,42,43.5,1.9,1.071428571,0.214285714,43.5,-1.685714286,1,0,1,1,1,9
19.5,30.5,36,42,43,11,16.5,22.5,23.5,0.55,0.857142857,0.142857143,23.5,-0.407142857,1,0,1,1,1,9
16,32,49.9375,59,64.2,16,34.4,43,48.2,1.79375,1.294642857,0.742857143,48.2,-1.050892857,1,0,1,1,1,9
14.1,21,36,39,39.5,6.9,21.9,24.9,25.4,1.5,0.428571429,0.071428571,25.4,-1.428571429,1,0,1,1,1,5
20,27,45.5,45.5,49.7,7,25.5,25.5,29.7,1.85,0,0.6,29.7,-1.25,1,0,1,1,1,5
16,23,45.5,50.5,50.7,7,29.5,34.5,34.7,2.25,0.714285714,0.028571429,34.7,-2.221428571,1,0,1,1,1,5
19,28,35,36.5,37.5,9,16,17.5,18.5,0.7,0.214285714,0.142857143,18.5,-0.557142857,1,0,1,1,1,5
14.5,23,43.3,46,47.1,8.5,28.8,31.5,32.6,2.03,0.385714286,0.157142857,32.6,-1.872857143,1,0,1,1,1,5
14.4,25.2,40,47,48.5,10.8,25.6,32.6,34.1,1.48,1,0.214285714,34.1,-1.265714286,1,0,1,1,1,5
14.5,22,34,43,48,7.5,19.5,28.5,33.5,1.2,1.285714286,0.714285714,33.5,-0.485714286,1,0,1,1,1,5
17,26,42,43.5,44.6,9,25,26.5,27.6,1.6,0.214285714,0.157142857,27.6,-1.442857143,1,0,1,1,1,5
18.5,29,36.5,43.5,43.8,10.5,18,25,25.3,0.75,1,0.042857143,25.3,-0.707142857,1,0,1,1,1,5
17,22,49,52,52.5,5,32,35,35.5,2.7,0.428571429,0.071428571,35.5,-2.628571429,1,0,1,1,1,5
14,26,38.5,46,49.3,12,24.5,32,35.3,1.25,1.071428571,0.471428571,35.3,-0.778571429,1,0,1,1,1,5
15.3,23.5,37.7,45,45.7,8.2,22.4,29.7,30.4,1.42,1.042857143,0.1,30.4,-1.32,1,0,1,1,1,5
18.5,23,40.3,43.5,46,4.5,21.8,25,27.5,1.73,0.457142857,0.357142857,27.5,-1.372857143,1,0,1,1,1,7
20,25.5,42,45.5,48.8,5.5,22,25.5,28.8,1.65,0.5,0.471428571,28.8,-1.178571429,1,0,1,1,1,7
17,26.7,39.3,41,44.5,9.7,22.3,24,27.5,1.26,0.242857143,0.5,27.5,-0.76,1,0,1,1,1,7
20.2,22.5,45,48,50,2.3,24.8,27.8,29.8,2.25,0.428571429,0.285714286,29.8,-1.964285714,1,0,1,1,1,7
13,16,30.1,30.5,30.8,3,17.1,17.5,17.8,1.41,0.057142857,0.042857143,17.8,-1.367142857,1,0,1,1,1,7
21,26,39.7,47,50,5,18.7,26,29,1.37,1.042857143,0.428571429,29,-0.941428571,1,0,1,1,1,7
21,29,46.8,50,52,8,25.8,29,31,1.78,0.457142857,0.285714286,31,-1.494285714,1,0,1,1,1,7
18,23,36.2,39.5,41,5,18.2,21.5,23,1.32,0.471428571,0.214285714,23,-1.105714286,1,0,1,1,1,7
19,23.5,32,37.2,37.5,4.5,13,18.2,18.5,0.85,0.742857143,0.042857143,18.5,-0.807142857,1,0,1,1,1,7
19.4,27,33,37,38,7.6,13.6,17.6,18.6,0.6,0.571428571,0.142857143,18.6,-0.457142857,1,0,1,1,1,7
18,25,38,47,48,7,20,29,30,1.3,1.285714286,0.142857143,30,-1.157142857,1,0,1,1,1,7
21,27.5,45,50.5,51.5,6.5,24,29.5,30.5,1.75,0.785714286,0.142857143,30.5,-1.607142857,1,0,1,1,1,7
15,24,35,41,44,9,20,26,29,1.1,0.857142857,0.428571429,29,-0.671428571,1,0,1,1,1,2
18.5,28.5,41,44.5,45.5,10,22.5,26,27,1.25,0.5,0.142857143,27,-1.107142857,1,0,1,1,1,2
22,25.5,40,42,42.5,3.5,18,20,20.5,1.45,0.285714286,0.071428571,20.5,-1.378571429,1,0,1,1,1,2
22.5,28,40,42.3,42.5,5.5,17.5,19.8,20,1.2,0.328571429,0.028571429,20,-1.171428571,1,0,1,1,1,2
17,25,39,43.9,44,8,22,26.9,27,1.4,0.7,0.014285714,27,-1.385714286,1,0,1,1,1,2
22.8,25.5,38.6,41,41.5,2.7,15.8,18.2,18.7,1.31,0.342857143,0.071428571,18.7,-1.238571429,1,0,1,1,1,2
22.5,28.5,36,44.9,51,6,13.5,22.4,28.5,0.75,1.271428571,0.871428571,28.5,0.121428571,1,0,1,1,1,2
19,27,46,48,48.7,8,27,29,29.7,1.9,0.285714286,0.1,29.7,-1.8,1,0,1,1,1,2
22,27,39.3,41.3,41.7,5,17.3,19.3,19.7,1.23,0.285714286,0.057142857,19.7,-1.172857143,1,0,1,1,1,2
17.2,26,33,37.5,38,8.8,15.8,20.3,20.8,0.7,0.642857143,0.071428571,20.8,-0.628571429,1,0,1,1,1,2
13,10.775,15.4375,0,0,-3.6125,-4.8,-13,-13,0.46625,-2.205357143,0,-13,-0.46625,1,0,1,1,1,2
21.7,26,36.5,47,52.8,4.3,14.8,25.3,31.1,1.05,1.5,0.828571429,31.1,-0.221428571,1,0,1,1,1,2
14,30,38.5,43,44.6,16,24.5,29,30.6,0.85,0.642857143,0.228571429,30.6,-0.621428571,1,0,1,1,1,1
16.3,29.7,47.8,54,54.5,13.4,31.5,37.7,38.2,1.81,0.885714286,0.071428571,38.2,-1.738571429,1,0,1,1,1,1
17.5,29.5,45.6,46.4,46.9,12,28.1,28.9,29.4,1.61,0.114285714,0.071428571,29.4,-1.538571429,1,0,1,1,1,1
18,29.2,40,43,47.2,11.2,22,25,29.2,1.08,0.428571429,0.6,29.2,-0.48,1,0,1,1,1,1
18.9,29,46.3,48.6,50.8,10.1,27.4,29.7,31.9,1.73,0.328571429,0.314285714,31.9,-1.415714286,1,0,1,1,1,1
15.5,30,48.6,50,53.8,14.5,33.1,34.5,38.3,1.86,0.2,0.542857143,38.3,-1.317142857,1,0,1,1,1,1
13.5,21.5,46,48,48.5,8,32.5,34.5,35,2.45,0.285714286,0.071428571,35,-2.378571429,1,0,1,1,1,1
15,31,44.4,47.4,47.8,16,29.4,32.4,32.8,1.34,0.428571429,0.057142857,32.8,-1.282857143,1,0,1,1,1,1
16.6,30,40.2,42.5,43,13.4,23.6,25.9,26.4,1.02,0.328571429,0.071428571,26.4,-0.948571429,1,0,1,1,1,1
12,21,47,51.2,57.5,9,34.4,39.2,45.5,2.6,0.6,0.9,45.5,-1.7,1,0,1,1,1,1
15,20,34,37,43.5,5,19,22,28.5,1.4,0.428571429,0.928571429,28.5,-0.471428571,1,0,1,1,1,1
16.7,30,45.2,47,47.5,13.3,28.5,30.3,30.8,1.52,0.257142857,0.071428571,30.8,-1.448571429,1,0,1,1,1,1
15,25.5,38,40,45.6,10.5,23,25,30.6,1.25,0.285714286,0.8,30.6,-0.45,1,0,1,1,1,0
18.5,30.3,48,52.6,54.3,11.8,29.5,34.1,35.8,1.77,0.657142857,0.242857143,35.8,-1.527142857,1,0,1,1,1,0
18,29,38.5,52.5,53.4,11,20.5,34.5,35.4,0.95,2,0.128571429,35.4,-0.821428571,1,0,1,1,1,0
17,29.7,38.5,48,48.5,12.7,21.5,31,31.5,0.88,1.357142857,0.071428571,31.5,-0.808571429,1,0,1,1,1,0
17,24,39.7,47.5,50.3,7,22.7,30.5,33.3,1.57,1.114285714,0.4,33.3,-1.17,1,0,1,1,1,0
16,24,37,43,44,8,21,27,28,1.3,0.857142857,0.142857143,28,-1.157142857,1,0,1,1,1,0
18,21.5,34,39.6,45.5,3.5,16,21.6,27.5,1.25,0.8,0.842857143,27.5,-0.407142857,1,0,1,1,1,0
20,24.5,31.5,48,49.3,4.5,11.5,28,29.3,0.7,2.357142857,0.185714286,29.3,-0.514285714,1,0,1,1,1,0
17,21,41.2,46,45.5,4,24.2,29,28.5,2.02,0.685714286,-0.071428571,28.5,-2.091428571,1,0,1,1,1,0
19,26,40,43.3,48,7,21,24.3,29,1.4,0.471428571,0.671428571,29,-0.728571429,1,0,1,1,1,0
5.75,10.775,15.4375,0,0,-3.6125,-4,-4,-4,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,0
17,26,39.5,46,51,9,22.5,29,34,1.35,0.928571429,0.714285714,34,-0.635714286,1,0,1,1,1,0
19.5,27.5,29.1,0,0,8,9.6,0,0,0.16,-4.157142857,0,-19.5,-0.16,0.333333333,1,1,0,0,5
17.5,28.6,29.1,29,0,11.1,11.6,11.5,0,0.05,-0.014285714,-4.142857143,-17.5,-4.192857143,0.666666667,1,1,1,0,5
19.3,28.9,30.2,31,32.5,9.6,10.9,11.7,13.2,0.13,0.114285714,0.214285714,13.2,0.084285714,1,1,1,1,1,5
20.4,24.5,33.5,34.5,35.5,4.1,13.1,14.1,15.1,0.9,0.142857143,0.142857143,15.1,-0.757142857,1,1,1,1,1,5
16.4,27.5,28.5,28.8,0,11.1,12.1,12.4,0,0.1,0.042857143,-4.114285714,-16.4,-4.214285714,0.666666667,1,1,1,0,5
14,24.8,34,35,0,10.8,20,21,0,0.92,0.142857143,-5,-14,-5.92,0.666666667,1,1,1,0,5
19.3,27.7,28.4,0,0,8.4,9.1,0,0,0.07,-4.057142857,0,-19.3,-0.07,0.333333333,1,1,0,0,5
16.8,27,28.2,28.5,0,10.2,11.4,11.7,0,0.12,0.042857143,-4.071428571,-16.8,-4.191428571,0.666666667,1,1,1,0,5
17.4,30.5,36,36.2,0,13.1,18.6,18.8,0,0.55,0.028571429,-5.171428571,-17.4,-5.721428571,0.666666667,1,1,1,0,5
21,25.2,37,37.5,37.7,4.2,16,16.5,16.7,1.18,0.071428571,0.028571429,16.7,-1.151428571,1,1,1,1,1,5
12.5,15.5,33,0,0,3,14.9,0,0,1.75,-4.714285714,0,-12.5,-1.75,0,1,0,0,0,5
20.5,27.7,27.9,28.1,0,7.2,7.4,7.6,0,0.02,0.028571429,-4.014285714,-20.5,-4.034285714,0.666666667,1,1,1,0,5
18,28.2,29.2,0,0,10.2,11.2,0,0,0.1,-4.171428571,0,-18,-0.1,0.333333333,1,1,0,0,2
17,24.1,28.8,29,0,7.1,11.8,12,0,0.47,0.028571429,-4.142857143,-17,-4.612857143,0.666666667,1,1,1,0,2
16.5,24.3,30.4,30.5,0,7.8,13.9,14,0,0.61,0.014285714,-4.357142857,-16.5,-4.967142857,0.666666667,1,1,1,0,2
19.1,25.2,30.1,31,0,6.1,11,11.9,0,0.49,0.128571429,-4.428571429,-19.1,-4.918571429,0.666666667,1,1,1,0,2
21.5,31.2,35,38.5,0,9.7,13.5,17,0,0.38,0.5,-5.5,-21.5,-5.88,0.666666667,1,1,1,0,2
17.3,20,32.5,0,0,2.7,15.2,0,0,1.25,-4.642857143,0,-17.3,-1.25,0.333333333,1,1,0,0,2
20,28.1,28.7,0,0,8.1,8.7,0,0,0.06,-4.1,0,-20,-0.06,0.333333333,1,1,0,0,2
22,24.6,29,0,0,2.6,7,0,0,0.44,-4.142857143,0,-22,-0.44,0.333333333,1,1,0,0,2
15,19,31.5,0,0,4,13.1,0,0,1.25,-4.5,0,-15,-1.25,0,1,0,0,0,2
20.5,29.6,32.5,32.6,0,9.1,12,12.1,0,0.29,0.014285714,-4.657142857,-20.5,-4.947142857,0.666666667,1,1,1,0,2
17.3,24.6,30,32,0,7.3,12.7,14.7,0,0.54,0.285714286,-4.571428571,-17.3,-5.111428571,0.666666667,1,1,1,0,2
17.1,27,28.5,31.5,0,9.9,11.4,14.4,0,0.15,0.428571429,-4.5,-17.1,-4.65,0.666666667,1,1,1,0,2
18.5,28.2,30,0,0,9.7,11.5,0,0,0.18,-4.285714286,0,-18.5,-0.18,0.333333333,1,1,0,0,0
18,29.4,30,0,0,11.4,12,0,0,0.06,-4.285714286,0,-18,-0.06,0.333333333,1,1,0,0,0
13.9,22,22.5,0,0,8.1,8.6,0,0,0.05,-3.214285714,0,-13.9,-0.05,0.333333333,1,1,0,0,0
20.1,32.1,35,39.5,39.5,12,14.9,19.4,19.4,0.29,0.642857143,0,19.4,-0.29,1,1,1,1,1,0
20.1,31.5,37,37.2,0,11.4,16.9,17.1,0,0.55,0.028571429,-5.314285714,-20.1,-5.864285714,0.666666667,1,1,1,0,0
17.2,31.2,32,32.5,0,14,14.8,15.3,0,0.08,0.071428571,-4.642857143,-17.2,-4.722857143,0.666666667,1,1,1,0,0
19.5,25.6,25.9,0,0,6.1,6.4,0,0,0.03,-3.7,0,-19.5,-0.03,0.333333333,1,1,0,0,0
19,29.1,30.5,0,0,10.1,11.5,0,0,0.14,-4.357142857,0,-19,-0.14,0.333333333,1,1,0,0,0
5.75,10.775,33.85,0,0,-3,16,0,0,2.3075,-4.835714286,0,-5.75,-2.3075,0,1,0,0,0,0
22,30.6,35.2,42,0,8.6,13.2,20,0,0.46,0.971428571,-6,-22,-6.46,0.666666667,1,1,1,0,0
20.3,30.2,38,39.4,0,9.9,17.7,19.1,0,0.78,0.2,-5.628571429,-20.3,-6.408571429,0.666666667,1,1,1,0,0
17,28.3,33,33.9,0,11.3,16,16.9,0,0.47,0.128571429,-4.842857143,-17,-5.312857143,0.666666667,1,1,1,0,0
20.4,29.2,31.1,0,0,8.8,10.7,0,0,0.19,-4.442857143,0,-20.4,-0.19,0.333333333,1,1,0,0,9
19.5,24.1,31.6,0,0,4.6,12.1,0,0,0.75,-4.514285714,0,-19.5,-0.75,0.333333333,1,1,0,0,9
23,29.1,33.5,34.8,0,6.1,10.5,11.8,0,0.44,0.185714286,-4.971428571,-23,-5.411428571,0.666666667,1,1,1,0,9
21.3,29.6,33.5,34,0,8.3,12.2,12.7,0,0.39,0.071428571,-4.857142857,-21.3,-5.247142857,0.666666667,1,1,1,0,9
22.1,27.5,37,0,0,5.4,14.9,0,0,0.95,-5.285714286,0,-22.1,-0.95,0.333333333,1,1,0,0,9
20.3,27.7,31.4,34.5,0,7.4,11.1,14.2,0,0.37,0.442857143,-4.928571429,-20.3,-5.298571429,0.666666667,1,1,1,0,9
13.1,22.4,24.7,0,0,9.3,11.6,0,0,0.23,-3.528571429,0,-13.1,-0.23,0.333333333,1,1,0,0,9
19,25.7,30.5,0,0,6.7,11.5,0,0,0.48,-4.357142857,0,-19,-0.48,0.333333333,1,1,0,0,9
21.5,30,34.5,0,0,8.5,13,0,0,0.45,-4.928571429,0,-21.5,-0.45,0.333333333,1,1,0,0,9
19.3,29,36,36.2,0,9.7,16.7,16.9,0,0.7,0.028571429,-5.171428571,-19.3,-5.871428571,0.666666667,1,1,1,0,9
21,23.5,39,39.2,0,2.5,18,18.2,0,1.55,0.028571429,-5.6,-21,-7.15,0.666666667,1,1,1,0,9
20.3,29.6,37,0,0,9.3,16.7,0,0,0.74,-5.285714286,0,-20.3,-0.74,0.333333333,1,1,0,0,9
14,27.2,30,0,0,13.2,16,0,0,0.28,-4.285714286,0,-14,-0.28,0.333333333,1,1,0,0,7
18.3,26.4,27.3,0,0,8.1,9,0,0,0.09,-3.9,0,-18.3,-0.09,0.333333333,1,1,0,0,7
